"name","location.country"
"Boris Karloff","United Kingdom"
"Boris Grebentshikov","Russia"
"Boris","Japan"
"Borko","Iceland"
"Boris The Blade","Australia"
"Brooke Hogan","United States"
"Brooklyn Bounce","Germany"
"Brookes Brothers","United Kingdom"
"Brooklyn Funk Essentials","United States"
"Brooks Williams","United States"
"Brooks Buford","United States"
"Bros","United Kingdom"
"Brother","Australia"
"Brother Brown","Denmark"
"Brothatone","United States"
"Brotha Lynch Hung","United States"
"Caitlin Canty","United States"
"Cajun Dance Party","United Kingdom"
"Cake","United States"
"Cakra Khan","Indonesia"
"Cake Like","United States"
"Cal","United Kingdom"
"Cal Tjader","United States"
"Cal Smith","United States"
"Calabrese","United States"
"Caladan Brood","United States"
"Borknagar","Norway"
"Born Blind","United States"
"Born Against","United States"
"Born For Bliss","Netherlands"
"Born Jamericans","United States"
"Born To Lose","United States"
"Born Gold","Canada"
"Born From Pain","Netherlands"
"Born Of Osiris","United States"
"Black Veil Brides","United States"
"Black Tambourine","United States"
"Black Violin","United States"
"Black Witchery","Florida"
"Black Widow","Brazil"
"Black Wire","United Kingdom"
"Black-Ty","Temecula"
"Blackberry Smoke","United States"
"Blackbird Blackbird","United States"
"Blackblack","United States"
"Blackcentr","Austria"
"Blackbud","United Kingdom"
"Blackalicious","United States"
"Brother Cane","United States"
"Brother Firetribe","Finland"
"Brother Beyond","United Kingdom"
"Brother Reade","United States"
"Brother Phelps","United States"
"Brotherhood Creed","United States"
"Brothers Keepers","Germany"
"Brothers Osborne","United States"
"Brotherhood Of Man","United Kingdom"
"Brown","Germany"
"Brothertiger","Athens"
"Brown Bird","Rhode Island"
"Brown Brigade","Canada"
"Calbo","France"
"Calcutta","Italy"
"Cale Copf Company","Germany"
"Caldera","Belgium"
"Caleb Quaye","United Kingdom"
"Cali","France"
"Cales","Czech Republic"
"Calexico","United States"
"Blackdeath","Russia"
"Blackcrowned","Russia"
"Blackeyed Blonde","Germany"
"Blackened","Germany"
"Blackfoot","United States"
"Blackfield","United Kingdom"
"Blackfire","United States"
"Blackhalos","Canada"
"Blackguard","Canada"
"Blackhawk","United States"
"Boris Vian","France"
"Borne","Australia"
"Born Ruffians","Canada"
"Bornholm","Hungary"
"Bosco","France"
"Bosque Brown","United States"
"Bosko","United States"
"Boss","United States"
"Bosnian Rainbows","United States"
"Boss Bytch","United States"
"Boss Hog","United States"
"Boss Hogg","United States"
"Bossa Nostra","Italy"
"Boss Hogg Outlawz","United States"
"Bosse-De-Nage","United States"
"Bosse","Germany"
"Bossman","United Kingdom"
"Boston","United States"
"Both","Europe"
"Bosson","Sweden"
"Blackjack","New Zealand"
"Blackie And The Rodeo Kings","Canada"
"Blacklist","South Africa"
"Blackmill","United Kingdom"
"Blackmail","Koblenz"
"Blacko","France"
"Blackout Problems","Germany"
"Blackmore's Night","United States"
"Cali & El Dandee","Spain"
"Cali Agents","United States"
"Calibre","United Kingdom"
"Cali Swag District","United States"
"Calibre 50","Mexico"
"Calibretto","United States"
"Calico System","St. Louis"
"Califone","United States"
"Brownie McGhee","United States"
"Brownside","United States"
"Bruce & Bongo","United Kingdom"
"Bruce Carroll","United States"
"Bruce Channel","United States"
"Bruce Dickinson","United Kingdom"
"Bruce Low","Netherlands"
"Bruce Guthro","Canada"
"Bruce Hornsby","United States"
"Botch","United States"
"Botany Boyz","Houston"
"Bots","Netherlands"
"Botellita De Jerez","Mexico"
"Bottled In England","Denmark"
"Bottlefly","United Kingdom"
"Bottom","United States"
"Bottom Line","United States"
"Bouga","France"
"Bouchées Doubles","France"
"Boulevard","Canada"
"Boule Noire","Quebec"
"Boulevard Des Airs","France"
"Boudewijn De Groot","Netherlands"
"Blackshine","Sweden"
"Blackstar","United Kingdom"
"Blackstreet","United States"
"Blackpool Lights","United States"
"BlackRain","France"
"Blackthrone","Finland"
"Blacktop Cadence","United States"
"Blacktop Mourning","United States"
"Blade","Italy"
"Blaggards","United States"
"Blackwood","Australia"
"Blaine","Wrocław"
"Blair","United Kingdom"
"Blahzay Blahzay","United States"
"Blaine Larsen","United States"
"Caligula's Horse","Australia"
"Caliban","Germany"
"Cali≠gari","Japan"
"Call Me Lightning","United States"
"Call The Cops","United States"
"Callaghan","United States"
"Calla","Brooklyn"
"Callalily","Philippines"
"Calle 13","Puerto Rico"
"Bound For Glory","Saint Paul"
"Bound Stems","United States"
"Bounty Killer","Jamaica"
"Bourbon Tabernacle Choir","Canada"
"Bourvil","France"
"Bruce Molsky","United States"
"Bruce Lee Band","United States"
"Bruce Roberts","United States"
"Bruce Reitherman","United States"
"Bruford","United Kingdom"
"Bruised But Not Broken","Charlotte"
"Brume D'Automne","Canada"
"Brummels Beau","United States"
"Bruna Karla","Brazil"
"Bruno Coulais","France"
"Bruno & Marrone","Brazil"
"Brutal Attack","United Kingdom"
"Brutality","United States"
"Blade Loki","Poland"
"Blaise Plant","Canada"
"Blak Twang","United Kingdom"
"Blake (UK)","United Kingdom"
"Blake Babies","United States"
"Blake McGrath","Canada"
"Blakroc","United States"
"Blake Lewis","United States"
"Bourgeois Tagg","United States"
"Bow Wave","Czech Republic"
"Bouwer Bosch","South Africa"
"Bow Wow Wow","United Kingdom"
"Bowery Electric","United States"
"Bowerbirds","United States"
"Bow Wow","Japan"
"Blam Blam Blam","New Zealand"
"Blake Richardson","United States"
"Blake","Finland"
"Blake Shelton","United States"
"Blameless","Sheffield"
"Blameshift","New York"
"Blanca","Orlando"
"Blanche Calloway","United States"
"Blanche","United States"
"Blancmange","United Kingdom"
"Blanche Aubry","Switzerland"
"Blanco Y Negro","Guerrero"
"Blank Dogs","United States"
"Calle Kristiansson","Sweden"
"Calle París","Spain"
"Calle Real","Sweden"
"Calle Less ThanNumber","Puerto Rico"
"Callejeros","Argentina"
"Calling All Cars","Melbourne"
"Callejon","Germany"
"Callers","United States"
"Calloway","United States"
"Callisto","United States"
"Callenish Circle","Netherlands"
"Bowling For Soup","United States"
"Box Car Racer","United States"
"Bows","United Kingdom"
"Boxed In","United Kingdom"
"Boxcar Willie","United States"
"Boxtops","United States"
"Boy","Germany"
"Boxhamsters","Germany"
"Boy & Bear","Australia"
"Blank Banshee","Canada"
"Blanket Music","United States"
"Blank & Jones","Germany"
"Blankass","France"
"Blankey Jet City","Japan"
"Blank Pages","United States"
"Blanks 77","United States"
"Blaq Poet","United States"
"Blasfemia","Colombia"
"Blaqk Audio","United States"
"Blaque","United States"
"Blasphemy","Canada"
"Bryan Bowers","United States"
"Bryan Lee","United States"
"Bryan Duncan","United States"
"Bryan Sutton","United States"
"Bryce","Germany"
"Bryn Christopher","United Kingdom"
"Brädi","Finland"
"Bs 2000","United States"
"Brüssel Kaupallinen","Finland"
"Boy (CA)","Canada"
"Boy Blue","United States"
"Calogero","France"
"Calvin Boze","United States"
"Caloncho","Guadalajara"
"Calvin Johnson","United States"
"Calvin Harris","United Kingdom"
"Calvin Crabtree","United States"
"Calvin Mackenzie","South Africa"
"Calvin Russell","United States"
"Caló","Mexico"
"Blasterjaxx","Netherlands"
"Blasted Mechanism","Portugal"
"Blaudzun","Netherlands"
"Bubaseta","Chile"
"Bubbi Morthens","Iceland"
"Bubba Sparxxx","United States"
"Buccaneer","Jamaica"
"Buc Fifty","California"
"Bubbles","Sweden"
"Buck","United States"
"Buck Clayton","United States"
"Buck 65","Canada"
"Cam Clarke","United States"
"Cam Hodges","Sammamish"
"Calvin Richardson","United States"
"Cam'ron","United States"
"Buck Enterprises","United States"
"Buckcherry","United States"
"Buckethead","United States"
"Buckshot","United States"
"Buckwheat Zydeco","United States"
"Bucks Fizz","United Kingdom"
"Buckshot LeFonque","United States"
"Bud E. Luv","United States"
"Bud Flanagan","United Kingdom"
"Camaleonti","Italy"
"Camané","Portugal"
"Cambio","Philippines"
"Camarón De La Isla","Spain"
"Camber","United States"
"Camel","United Kingdom"
"Bud Spencer","Italy"
"Bud Shank","United States"
"Buddy","Germany"
"Buddy Clark","United States"
"Buddy Cole","United States"
"Buddy Holly","United States"
"Buddy Miles","United States"
"Buddy Rich","United States"
"Buddy Spicher","United States"
"Budzillus","Germany"
"Buddy Wasisname And The Other Fellers","Canada"
"Budka Suflera","Poland"
"Buena Vista Social Club","Cuba"
"Buenos Muchachos","Uruguay"
"Buffalo Daughter","Japan"
"Buika","Spain"
"Cameo","United States"
"Cameron","United States"
"Camera Obscura","United Kingdom"
"Camila","Mexico"
"Camila Cabello","United States"
"Camila Moreno","Chile"
"Camilla Brinck","Sweden"
"Camilla Kerslake","United Kingdom"
"Camille","France"
"Camille Howard","United States"
"Camille Jones","Denmark"
"Camille Bazbaz","France"
"Camille Yarbrough","United States"
"Camillo Felgen","Luxembourg"
"Camo & Krooked","Austria"
"Camoflauge","United States"
"Camp","Switzerland"
"Camilo Sesto","Spain"
"Camisa De Vênus","Brazil"
"Camouflage","Germany"
"Buke And Gase","United States"
"Buka","Poland"
"Bukkene Bruse","Norway"
"Buldog","Poland"
"BulletBoys","United States"
"Bullets N' Octane","United States"
"Bulldozer","France"
"Camp Iii","United States"
"Camper Van Beethoven","United States"
"Camp Lo","United States"
"Campino","Germany"
"Campag Velocet","United Kingdom"
"Camphor","United States"
"Campfire Girls","United States"
"Campo Di Marte","Italy"
"Campground Effect","United States"
"Campo De Almas","Peru"
"Camron","United States"
"Camulos","Sachsen"
"Bully Buhlan","Germany"
"Bulutsuzluk Özlemi","Turkey"
"Bums","Germany"
"Bumble Bee Slim","United States"
"Bunchofuckingoofs","Canada"
"Bun B","United States"
"Bunga Citra Lestari","Indonesia"
"Bunny DeBarge","United States"
"Bunny Berigan","United States"
"Bunny Walters","New Zealand"
"Buono!","Japan"
"Bunnygrunt","United States"
"Bunny Wailer","Jamaica"
"Burak Kut","Turkey"
"Burcu Güneş","Turkey"
"Buraka Som Sistema","Portugal"
"Burden Brothers","United States"
"Burden Of A Day","United States"
"Burhan G","Denmark"
"Burial","United Kingdom"
"Burial Invocation","Turkey"
"Buried Alive","United States"
"Buried Inside","Canada"
"Camu Tao","United States"
"Camélia Jordana","France"
"Can Bonomo","Turkey"
"Can","Germany"
"Can't Bear This Party","France"
"Can't Stop Won't Stop","United States"
"Canaan Smith","United States"
"Canada","United States"
"Canaan","Italy"
"Canadians","Italy"
"Canada (FR)","France"
"Canadian Brass","Canada"
"Canardo","France"
"Canal Terror","Germany"
"Burkhard Ihme","Germany"
"Buried Dreams","Ciudad de México"
"Burn In Silence","United States"
"Burn Still","Estonia"
"Burning","Spain"
"Burning Airlines","United States"
"Burning Inside","United States"
"Burning Rain","United States"
"Burning Point","Finland"
"Burnman","United States"
"Burns Out Bright","United States"
"Burnt Ones","San Francisco"
"Bury Crew","United Kingdom"
"Bury My Sins","Germany"
"Burnt By The Sun","United States"
"Burt Bacharach","United States"
"Burzum","Limousis"
"Busby Marou","Queensland"
"Busdriver","United States"
"Canasta","United States"
"Cancer","Ironbridge"
"Cancer Bats","Canada"
"Candi","Canada"
"Candee Jay","Netherlands"
"Candelilla","Munich"
"Cancerslug","Huntsville"
"Candan Erçetin","Turkey"
"Bush Tetras","United States"
"Bushido","Germany"
"Busta Flex","France"
"Candi And The Backbeat","Canada"
"Candi Payne","United Kingdom"
"Candi Staton","United States"
"Candice Glover","United States"
"Candice Alley","Australia"
"Candie Payne","United Kingdom"
"Candice Night","United States"
"Candiria","United States"
"Candlewick Green","United Kingdom"
"Candlemass","Sweden"
"Busta Rhymes","United States"
"Candlebox","United States"
"Candy 66","Venezuela"
"Candy Coburn","United States"
"Candy Girls","United Kingdom"
"Candy Coated Killahz","Canada"
"Candy Dulfer","Netherlands"
"Candysuck","Sweden"
"Candypants","United States"
"Candye Kane","United States"
"Canibus","United States"
"Buster Poindexter","United States"
"Butane","United States"
"Butch Cassidy","United States"
"Butch Hancock","United States"
"Butt Trumpet","United States"
"Butterfingers","Australia"
"Butterfly","United States"
"Butterfingers (MY)","Malaysia"
"Butterfly Boucher","Australia"
"Butthole Surfers","United States"
"Butterfly Temple","Russia"
"Buzz Clifford","United States"
"Buzz Poets","United States"
"By The End Of Tonight","United States"
"Buzzcocks","United Kingdom"
"Cannibal & The Headhunters","United States"
"Caninus","United States"
"Cannabis Corpse","United States"
"Cannae","United States"
"Canned Heat","United States"
"Cannonball Adderley","United States"
"Cannibal Ox","United States"
"Cannibal Corpse","Buffalo"
"Canoe","Poland"
"Cannons (IL)","Israel"
"Canon Blue","United States"
"Canseco","Mexico"
"Canon","United States"
"Canserbero","Venezuela"
"Canteca De Macao","Spain"
"Canta U Populu Corsu","France"
"Cantona","Poland"
"Cantus","United States"
"Byron Lee","Jamaica"
"Byron Lee And The Dragonaires","Jamaica"
"Byron Cage","United States"
"Byzantine","United States"
"Bèpi & The Prismas","Italy"
"Béla Fleck","United States"
"Bôa","United Kingdom"
"Bérurier Noir","France"
"Bülent Ersoy","Turkey"
"Børns","Los Angeles"
"Bülent Ortaçgil","Turkey"
"Bằng Kiều","Vietnam"
"Camera2","United States"
"Bức Tường","Vietnam"
"C Jerome","France"
"C-Block","Germany"
"C-Bo","United States"
"C-Loc","United States"
"Cap'n Jazz","United States"
"Capaz","Spain"
"Capdown","United Kingdom"
"Cape Lion","Sweden"
"CapaRezza","Italy"
"Capharnaum","United States"
"Capinam","Brazil"
"Capital Cities","United States"
"Capitaine Révolte","Canada"
"Capital D","United States"
"Capital Letters","United Kingdom"
"Capercaillie","United Kingdom"
"Capital Kings","United States"
"Capital Inicial","Brazil"
"C-Note","United States"
"C-Murder","Gretna"
"C. Jérôme","France"
"C.I.A.","Germany"
"C.G Mix","Japan"
"C.J. Chenier","United States"
"C.V. Jørgensen","Denmark"
"Capitalist Casualties","United States"
"Capital Sound","Canada"
"Capitan Melao","Argentina"
"Capitol City Dusters","United States"
"Capitolo 6","Italy"
"Capitol K","Malta"
"Capone","United Kingdom"
"Capleton","Jamaica"
"Capitol Steps","United States"
"Capone-N-Noreaga","United States"
"C21","Denmark"
"Ca","Japan"
"C418","Germany"
"Cabal","Spain"
"Cab Calloway","United States"
"Caballeros De La Quema","Argentina"
"Cabbage Boy","United Kingdom"
"Cappuccino","Lithuania"
"Cappella","Italy"
"Cappello A Cilindro","Italy"
"Caprice (RU)","Russia"
"Cappadonna","United States"
"Capstone","United Kingdom"
"Capsule","Japan"
"Capsule (US)","Miami"
"Cabaret Voltaire","United Kingdom"
"Cachorro Grande","Brazil"
"Cactus World News","Ireland"
"Cadallaca","United States"
"Cadaveres","Hungary"
"Caddywhompus","United States"
"Cadaverous Condition","Austria"
"Cadena Perpetua","Argentina"
"Cadillac Blindside","United States"
"Caedere","Haaksbergen"
"Captain Brackmard","France"
"Captain & Tennille","United States"
"Captain Beefheart And The Magic Band","United States"
"Captain Beyond","United States"
"Captain Everything!","United Kingdom"
"Caedmon's Call","United States"
"Caesars","Sweden"
"Caetano Veloso","Bahia"
"Captain Hollywood Project","Germany"
"Captain Kid","France"
"Captain Jack","Germany"
"Captain Matchbox Whoopee Band","Australia"
"Captain Save'em","United States"
"Captain Sensible","United Kingdom"
"Captain PlanET","Germany"
"Captain Tractor","Edmonton"
"Cara","Germany"
"Car Bomb","United States"
"Caputt","Germany"
"Caramba","Sweden"
"Carach Angren","Netherlands"
"Caracol","Quebec"
"Carajo","Argentina"
"Cara Dillon","Northern Ireland"
"Caravan","United Kingdom"
"Caramell","Sweden"
"Caramelos De Cianuro","Venezuela"
"Caravan Palace","France"
"Caravana","Región Metropolitana de Santiago"
"Carbon 12","Los Angeles"
"Carbon Based Lifeforms","Sweden"
"Carbon Airways","Besançon"
"Carbonized","Sweden"
"Carca","Argentina"
"Carbon/Silicon","United Kingdom"
"Carbon Leaf","Richmond"
"Carcer City","United Kingdom"
"Carcariass","France"
"Carcass","United Kingdom"
"Cardenales De Nuevo León","Mexico"
"Care","Germany"
"Cardinal Point","Italy"
"Cardiacs","United Kingdom"
"Care Bears On Fire","United States"
"Caretaker","Germany"
"Carey Bell","United States"
"Career Suicide","Canada"
"Cargo","Denmark"
"Caribbean Jazz Project","Cuba"
"Caribbean Offshores","Germany"
"Carice Van Houten","Netherlands"
"Caribou","Canada"
"Carishma","United States"
"Carl Anderson","United States"
"Carissa's Wierd","United States"
"Carl Brisson","Denmark"
"Carl Barât","United Kingdom"
"Carl Broemel","United States"
"Carl Belew","United States"
"Carl Cox","Oldham"
"Carina Round","United Kingdom"
"Carl Davis","United States"
"Carl Douglas","Jamaica"
"Carl Dobkins, Jr.","United States"
"Carl Doy","New Zealand"
"Carl Carlton","Germany"
"Carl Espen","Norway"
"Carl Fischer","United States"
"Carl Graves","Canada"
"Carl Jackson","United States"
"Carl Kennedy","United Kingdom"
"Carl Lewis And The Electric Storm","United States"
"Carl Mann","United States"
"Carl Orff","Germany"
"Carl Palmer","United Kingdom"
"Carl Peyer","Austria"
"Carl Perkins","United States"
"Carl Smith","United States"
"Carl Wayne","United Kingdom"
"Carl Thomas","Wales"
"Carl Weathersby","United States"
"Carl Wilson","United States"
"Carl-Einar Häckner","Sweden"
"Carla Azar","United States"
"Carla Boni","Italy"
"Carla Bozulich","United States"
"Carla Lother","New York"
"Carla Morrison","Mexico"
"Carla Olson","Los Angeles"
"Carla Thomas","United States"
"Carleen Anderson","United States"
"Boy Crisis","United States"
"Carly Rae Jepsen","Canada"
"Carly Simon","United States"
"Carmada","Australia"
"Carly Smithson","Ireland"
"Carmel","United Kingdom"
"Carmelo Luggeri","United Kingdom"
"Carmen","United States"
"Carmen Cavallaro","United States"
"Carmen Campagne","Canada"
"Carman","United States"
"Carlene Carter","United States"
"Carla's Dreams","Moldova"
"Carlene Davis","Jamaica"
"Carlinhos Brown","Brazil"
"Carlo Fava","Italy"
"Carlo Buti","Italy"
"Carlo Gesualdo","Italy"
"Carlo Muratori","Italy"
"Carlos & Alejandra","United States"
"Carlon Jeffery","United States"
"Carlos Bahr","Argentina"
"Carlos Baute","Venezuela"
"Carlos Di Sarli & Horacio Caseras","Argentina"
"Carlos Del Junco","Canada"
"Carlos Ann","Spain"
"Carlos Do Carmo","Portugal"
"Carlos Cano","Spain"
"Carlos Lyra","Brazil"
"Carlos Jean","Spain"
"Carlos Mejía Godoy","Nicaragua"
"Carlos Perón","Switzerland"
"Carmen Consoli","Italy"
"Carmen Electra","United States"
"Carmen McRae","United States"
"Carmen Rizzo","United States"
"Carmen París","Spain"
"Carmen Rasmusen","Canada"
"Carmen Miranda","Brazil"
"Carminho","Portugal"
"Carnal","Poland"
"Carmine Appice","United States"
"Carnal Forge","Sweden"
"Carnarium","Argentina"
"Carney","United States"
"Carnie Wilson","United States"
"Carnifex","United States"
"Carnivore","New York"
"Carnival Of Bullets","Poland"
"Caro Emerald","Netherlands"
"Carnival In Coal","France"
"Carnophage","Turkey"
"Carol Burnett","United States"
"Carol Channing","United States"
"Carol Douglas","United States"
"Carol Grimes","United Kingdom"
"Carol Kaye","United States"
"Carol Kidd","United Kingdom"
"Carol Jiani","United Kingdom"
"Carol Lee","Canada"
"Carol Laula","United Kingdom"
"Carol Lawrence","United States"
"Carol Sloane","United States"
"Carol Welsman","Canada"
"Carol Parks","United States"
"Carol Montag","United States"
"Carol Woods","United States"
"Carol'in","Italy"
"Carola Häggkvist","Sweden"
"Carola","Sweden"
"Carole Bayer Sager","United States"
"Carole Fredericks","United States"
"Carole King","Stanley"
"Carole Shelley","United Kingdom"
"Carole Laure","Canada"
"Carolin Kebekus","Germany"
"Carolina Rain","United States"
"Carolina Liar","Sweden"
"Carolina Chocolate Drops","United States"
"Caroline Af Ugglas","Sweden"
"Caroline","Denmark"
"Blatz","United States"
"Cats On Trees","France"
"Cattivi Pensieri","Italy"
"Cattive Abitudini","Italy"
"Cauby Peixoto","Brazil"
"Cauet","France"
"Caught In The Act","Netherlands"
"Causes","Netherlands"
"Caustic","United States"
"Cave Painting","United Kingdom"
"Caviar","United States"
"Cayucas","United States"
"Caz","United States"
"Cazals","London"
"Cazzette","Sweden"
"Carlos Núñez","Spain"
"Carlos Paião","Portugal"
"Carlos Gardel","Argentina"
"Carlos Rivera","Mexico"
"Carlotta","Italy"
"Carlos Varela","Cuba"
"Caroline Henderson","Denmark"
"Caroline Aiken","United States"
"Caroline Lavelle","United Kingdom"
"Caroline Herring","United States"
"Caroline Loeb","France"
"Caroline Smith","United States"
"Caroline Smith And The Good Night Sleeps","United States"
"Carolyn Crawford","United States"
"Caroline's Spine","United States"
"Carolyn Arends","Canada"
"Carolyn Hester","United States"
"Carolyn Wonderland","United States"
"Caron Wheeler","United Kingdom"
"Carlprit","Germany"
"Carly Binding","New Zealand"
"Carousel","New Zealand"
"Carolyn Dawn Johnson","Canada"
"Carpacho","Italy"
"Carpathian","Australia"
"Carpenter Mary Chapin","United States"
"Carpark North","Denmark"
"Carpe Tenebrum","Norway"
"Carpathian Forest","Norway"
"Carrapicho","Brazil"
"Carrantuohill","Poland"
"Carrara","Italy"
"Carrie Lucas","United States"
"Carrie Hassler","United States"
"Carpenters","United States"
"Cazuza","Brazil"
"CB Milton","Netherlands"
"Cc.K","Germany"
"Cb4","Serbia"
"CCS","United Kingdom"
"Ceasars Palace","Sweden"
"CeCe Peniston","United States"
"CeCe Winans","United States"
"Carrie Akre","United States"
"Carrie Skipper","United Kingdom"
"Carrie Rodriguez","United States"
"Carrie Newcomer","United States"
"Carroll Gibbons","United States"
"Carrier Flux","Minneapolis"
"Carrion","Poland"
"Carrie Underwood","United States"
"Carrousel","France"
"Cars & Trains","United States"
"Carsick Cars","China"
"Carsten Dahl","Denmark"
"Carson Robison","United States"
"Carsie Blanton","United States"
"Cartel De Santa","Mexico"
"Carter Burwell","United States"
"Carter The Unstoppable Sex Machine","United Kingdom"
"Civ","United States"
"Civic","Japan"
"Civet","United States"
"Civil Twilight","South Africa"
"Civilian","United States"
"CJ Bolland","United Kingdom"
"Ciwan Haco","Sweden"
"CJ Hilton","United States"
"CJ Ramone","United States"
"CJ Lewis","United Kingdom"
"Cj Stone","Germany"
"Civil War","Sweden"
"CKY","Philadelphia"
"Cee Lo Green","United States"
"Celeb","Canada"
"Celebrity","United States"
"Celebration","United States"
"Celebrate The Nun","Germany"
"Celadon Candy","United States"
"Celeste","France"
"Celeste Carballo","Argentina"
"Celia Lipton","United Kingdom"
"Celi Bee","United States"
"Celia Cruz","Cuba"
"Celesty","Finland"
"Celestial Season","Netherlands"
"Cella Dwellas","United States"
"Cellador","United States"
"Celldweller","United States"
"Celly Campello","Brazil"
"CellOut","Sweden"
"Celso Fonseca","Brazil"
"Cartman","Australia"
"Carter's Chord","United States"
"Cartel","Turkey"
"Cartoons","Denmark"
"Carus Thompson","Australia"
"Cary Pierce","United States"
"Carved In Stone","Germany"
"Cartola","Brazil"
"Cas Haley","United States"
"Cary Brothers","United States"
"Casa Del Vento","Italy"
"Casa Rusa","Spain"
"Casanova","Germany"
"Casanovas Schwule Seite","Germany"
"Casco","Italy"
"Cascadeur","France"
"Cascade","Japan"
"Case","United Kingdom"
"Cascada","Germany"
"Casey Abrams","United States"
"Casey Bill Weldon","United States"
"Casey Desmond","United States"
"Casey Donovan","Australia"
"Casey Foubert","Madison"
"Claire","Germany"
"Clair De Lune","Minneapolis"
"Clair Marlo","United States"
"Claire Keim","France"
"Claire Martin","United Kingdom"
"Claire Hamill","United Kingdom"
"Claire Diterzi","France"
"Claire De Lune","Minneapolis"
"Claire Lynch","United States"
"Claire Voyant","United States"
"Clairmel","United States"
"Claire's Birthday","Estonia"
"Clammbon By Nujabes","Japan"
"Clams Casino","United States"
"Clan Mamacè","Italy"
"Clan Of Xymox","Netherlands"
"Celso Blues Boy","Brazil"
"Celso Piña","Mexico"
"Celtic Frost","Switzerland"
"Celtas Cortos","Spain"
"Celtic Thunder","Ireland"
"Cemali","United States"
"Cem Karaca","Turkey"
"Cem Köksal","Turkey"
"Celtic Woman","Ireland"
"Casey","France"
"Casey Dienel","United States"
"Casey Jones","United States"
"Casey James","United States"
"Casey LaLonde","Seattle"
"Casey Stratton","United States"
"Casey Veggies","United States"
"Casha","United States"
"Cash Money Millionaires","United States"
"Cash Cash","United States"
"Clancy Hayes","United States"
"Clandestine","United States"
"Clann Zú","Australia"
"Clandestine Blaze","Lahti"
"Clann An Drumma","United Kingdom"
"Claptone","Berlin"
"Clap Your Hands Say Yeah","United States"
"Clannad","Ireland"
"Cemetary","Sweden"
"Cemeteries","Buffalo"
"Cemetary 1213","Sweden"
"Centaur","Germany"
"Cenobita","Mexico"
"Cenotaph","Turkey"
"Centhron","Bremen"
"Central Line","United Kingdom"
"Ceo","Sweden"
"Centurian","Netherlands"
"Centvrion","Italy"
"Cephalotripsy","United States"
"Cephas & Wiggins","United States"
"Cerberus Shoal","United States"
"Cashmere Cat","Halden"
"Casino","United States"
"Casiokids","Norway"
"Casino Royale","Italy"
"Casino Versus Japan","United States"
"Casino Steel","Norway"
"Casiotone For The Painfully Alone","United States"
"Casper","Germany"
"Casper & The Cookies","United States"
"Clara Jaione","Italy"
"Clara Montes","Cádiz"
"Clara C","United States"
"Clara Ward","United States"
"Clare & The Reasons","United States"
"Clara Morgane","France"
"Clara Luzia","Austria"
"Clare Burson","United States"
"Clare Fischer","United States"
"Clara Nunes","Brazil"
"Clare Reynolds","Australia"
"Clare Maguire","United Kingdom"
"Clarence Ashley","United States"
"Clarence ""Frogman"" Henry","United States"
"Clara Smith","United States"
"Clarence Coffee Jr.","United States"
"Clarence Clemons","United States"
"Clarence Edwards","United States"
"Clarence ""Gatemouth"" Brown","United States"
"Clarence Carter","United States"
"Cerebral Bore","United Kingdom"
"Ceremonial Embrace","Finland"
"Cephalgy","Germany"
"Century (FR)","France"
"Cesar Rosas","United States"
"Cerrone","France"
"Ceschi","United States"
"Cesare Basile","Italy"
"Cesk Freixas","Spain"
"Cetu Javu","Germany"
"Chabelos","Peru"
"Chabuca Granda","Peru"
"Chad & Jeremy","United Kingdom"
"Chad Kroeger","Canada"
"Chad Mitchell Trio","United States"
"Cass Daley","United States"
"Cass & Slide","United Kingdom"
"Caspian","United States"
"Cass Fox","United Kingdom"
"Cass McCombs","United States"
"Cassadee Pope","United States"
"Cassandra Steen","Germany"
"Cassandra Wilson","United States"
"Casse Pipe","France"
"Cassette","South Africa"
"Cassettes Won't Listen","United States"
"Casseurs Flowters","France"
"Cassidy","United States"
"Clarence Samuels","United States"
"Clarence Williams","United States"
"Clarence Williams' Blue Five","United States"
"Clarice Falcão","Brazil"
"Clark","United Kingdom"
"ClariS","Japan"
"Clark (SE)","Sweden"
"Clark Anderson","Los Angeles"
"Clarika","France"
"Clark Datchler","United Kingdom"
"Clark Gesner","United States"
"Clark Hutchinson","United Kingdom"
"Clarke Peters","United States"
"Clarknova","Canada"
"Class","Romania"
"Class Action","United States"
"Class Actress","United States"
"Chad Valley","United Kingdom"
"Chada","Poland"
"Chad Siwik","United States"
"Chadwick Stokes","United States"
"Chad VanGaalen","Canada"
"Chagrin D'Amour","France"
"Chage & Aska","Japan"
"Chaim Topol","Israel"
"Chagall Guevara","United States"
"Chain & The Gang","United States"
"Chain Of Strength","United States"
"Chainsaw Kittens","United States"
"Chairmen Of The Board","United States"
"Cassidy Haley","United States"
"Cassie Davis","Australia"
"Cassie","United States"
"Cassiopeia","Germany"
"Cassie Taylor","United States"
"Cassino","United States"
"Cassy","Austria"
"Cast","United Kingdom"
"Cast (MX)","Mexico"
"Cassius","France"
"Cast Aside","United States"
"Class Of '99","United States"
"Classics","Netherlands"
"Classificados","Portugal"
"Classics IV","United States"
"Claude","Denmark"
"Claude Challe & Ravin","France"
"Claude Debussy","France"
"Classified","Nova Scotia"
"Classix Nouveaux","United Kingdom"
"Claude François","France"
"Claude Kelly","United States"
"Claude Dubois","Quebec"
"Claude Luter","France"
"Claude Thornhill","United States"
"Claude King","United States"
"Claude Robin","France"
